Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
0;World;25190696;33172;847126;1145;17542060;6801510;61335;3232;108.7;;;
1;USA;6139466;388;186857;2;3408908;2543701;16025;1853;564;81105190;244794;331319877
2;Brazil;3846965;;120498;;3006812;719655;8318;18077;566;14352484;67444;212805498
3;India;3546705;6993;6369;33;2714995;76802;8944;2566;46;41461636;29997;1382196924
4;Russia;990326;498;17093;68;806982;166251;23;6786;117;36400000;249409;145944843
5;Peru;639435;;28607;;446675;164153;1524;1935;866;3156679;95526;33045190
6;South Africa;622551;;13981;;536694;71876;539;10476;235;3652970;61468;59428553
7;Colombia;599914;;19064;;440574;140276;1493;1177;374;2685355;52685;50970324
8;Mexico;591712;5974;63819;673;409127;118766;3334;4582;494;1334331;10332;129151233
9;Spain;455621;;29011;;N/A;N/A;751;9744;620;8517446;182161;46757783
10;Chile;408009;;11181;;381183;15645;959;21314;584;2365753;123584;19142814
11;Argentina;401239;;8353;;28722;105666;2192;8865;185;1222359;27006;45262921
12;Iran;371816;;21359;;319847;3061;3791;4418;254;3184857;37841;84165180
13;UK;332752;;41498;;N/A;N/A;60;4897;611;16273209;239508;67944393
14;Saudi Arabia;313911;;384;;288441;2163;1555;8995;110;5026127;144015;34900013
15;Bangladesh;310822;1897;4248;42;201907;104667;;1884;26;1537749;9322;164954430
16;Pakistan;295636;264;6288;4;280547;8801;601;1334;28;2603129;11749;221565832
17;France;27253;;30602;;86177;155751;387;4174;469;6175223;94571;65297356
18;Turkey;267064;;6284;;242812;17968;917;3161;74;6937088;8211;84485330
19;Italy;266853;;35473;;208224;23156;79;4415;587;8509618;140778;60447003
20;Germany;242825;;9363;;217484;15978;245;2897;112;11208091;133703;83828051
21;Iraq;227446;;6891;;16902;51535;579;5635;171;1567133;38826;40362883
22;Philippines;217396;4284;352;102;157403;56473;837;198;32;2515352;22905;109814383
23;Indonesia;169195;;7261;;122802;39132;;618;27;2198403;8024;273990013
24;Canada;127673;;9113;;113501;5059;50;3378;241;5402249;142933;37795794
25;Ukraine;119074;2096;2527;35;56734;59813;177;2725;58;1536171;35161;43689434
26;Qatar;118407;;196;;115251;296;67;42171;70;620128;220859;2807805
27;Bolivia;115354;945;4938;92;56749;53667;71;9861;422;239073;20436;11698467
28;Israel;113648;183;909;3;92588;20151;441;12356;99;2217857;241135;9197590
29;Ecuador;112906;;6537;;95429;1094;357;6384;370;326552;18464;17685670
30;Kazakhstan;105684;126;1523;;96135;8026;221;5618;81;2434444;129404;18812777
31;Egypt;98497;;5376;;71302;21819;41;960;52;135;1315;102638000
32;Dominican Republic;93732;;1673;;6632;25739;235;8627;154;363807;33483;10865479
33;Panama;91337;;1983;;65119;24235;155;21116;458;326597;75504;4325553
34;Romania;86785;952;3578;39;37665;45542;492;4516;186;1795633;93445;19216003
35;China;85031;9;4634;;80153;244;5;59;3;90410000;62814;1439323776
36;Oman;85005;;650;;79608;4747;153;16581;127;309212;60315;5126634
37;Belgium;84599;647;9891;5;18403;56305;72;7294;853;2261043;194953;11597901
38;Kuwait;84224;;528;;75993;7703;92;19676;123;611639;142885;4280629
39;Sweden;83958;;5821;;N/A;N/A;21;8305;576;1094856;108299;10109546
40;Guatemala;73679;;2728;;61163;9788;5;4101;152;240745;13399;17967755
41;Belarus;71523;;671;;70207;645;;757;71;1517128;160563;9448806
42;Netherlands;69632;;6224;;N/A;N/A;38;4062;363;1455274;849;17141131
43;UAE;69328;;379;;60202;8747;;6996;38;6923940;698711;9909587
44;Poland;6687;631;2033;1;46192;18645;85;1767;54;2660665;70314;37839707
45;Japan;66423;;1255;;55341;9827;230;525;10;1440826;11398;126411635
46;Morocco;60056;;1078;;44618;1436;31;1624;29;1890964;51134;36980844
47;Honduras;59645;835;1842;15;10156;47647;44;6007;186;142638;14365;9929610
48;Portugal;57448;;1818;;41766;13864;40;5637;178;1976482;19393;10191733
