Mes,Año,Fecha,Facturacion,Tendencia,Enero,Febrero,Marzo,Abril,Mayo ,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Proyección
Enero,2016,1/1/16,2720274.99,1,1,0,0,0,0,0,0,0,0,0,0,0,2795610.48
Febrero,2016,2/1/16,2509227.53,2,0,1,0,0,0,0,0,0,0,0,0,0,2360289.93
Marzo,2016,3/1/16,2272601.50,3,0,0,1,0,0,0,0,0,0,0,0,0,2311060.83
Abril,2016,4/1/16,2814536.28,4,0,0,0,1,0,0,0,0,0,0,0,0,2447730.60
Mayo,2016,5/1/16,2560524.03,5,0,0,0,0,1,0,0,0,0,0,0,0,2457106.73
Junio,2016,6/1/16,3143215.65,6,0,0,0,0,0,1,0,0,0,0,0,0,2976350.39
Julio,2016,7/1/16,2691007.26,7,0,0,0,0,0,0,1,0,0,0,0,0,2756519.84
Agosto,2016,8/1/16,2772533.13,8,0,0,0,0,0,0,0,1,0,0,0,0,2595498.97
Septiembre,2016,9/1/16,2701140.14,9,0,0,0,0,0,0,0,0,1,0,0,0,2449858.00
Octubre,2016,10/1/16,2869471.55,10,0,0,0,0,0,0,0,0,0,1,0,0,2743234.88
Noviembre,2016,11/1/16,2816957.79,11,0,0,0,0,0,0,0,0,0,0,1,0,2903251.12
Diciembre,2016,12/1/16,2499691.37,12,0,0,0,0,0,0,0,0,0,0,0,1,3135099.74
Enero,2017,1/1/17,3238540.08,13,1,0,0,0,0,0,0,0,0,0,0,0,3152406.00
Febrero,2017,2/1/17,2868974.76,14,0,1,0,0,0,0,0,0,0,0,0,0,2717085.45
Marzo,2017,3/1/17,3004586.68,15,0,0,1,0,0,0,0,0,0,0,0,0,2667856.34
Abril,2017,4/1/17,2674376.88,16,0,0,0,1,0,0,0,0,0,0,0,0,2804526.11
Mayo,2017,5/1/17,2414106.12,17,0,0,0,0,1,0,0,0,0,0,0,0,2813902.24
Junio,2017,6/1/17,3191346.94,18,0,0,0,0,0,1,0,0,0,0,0,0,3333145.90
Julio,2017,7/1/17,2950740.63,19,0,0,0,0,0,0,1,0,0,0,0,0,3113315.35
Agosto,2017,8/1/17,2807562.12,20,0,0,0,0,0,0,0,1,0,0,0,0,2952294.48
Septiembre,2017,9/1/17,2897409.91,21,0,0,0,0,0,0,0,0,1,0,0,0,2806653.51
